material_name,Frequency
Si Doping Spike,1
ZnSe layer (grown by ALE with Li doping),1
ZnSe layer (grown by MBE with Li delta-doping),1
ZnSe layer (grown by MBE without Li doping),1
Li atoms,1
MgZnO:In,1
"MgZnO:N,In",1
3C-SiC slab,1
Si-terminated surface,1
C-terminated surface,1
AlN/Al0.08Ga0.92N DAS,1
TMD Monolayer,1
Pump EM Field,1
Probe EM Field,1
Nonequilibrium Quasiparticle Distribution,1
a-SiC:H (Buffer Layer),1
"BDT, BT",1
ZnSe/BeTe superlattice,1
Undoped GaxIn1-xP,1
Nitrogen-doped GaxIn1-xP,1
"CdX (CdSe, CdS, CdTe)",1
In0.41Ga0.59As:Sb,1
Al0.9Ga0.1As / GaAs,1
Poly-crystalline Ferrites,1
YIG Spheres,1
Epitaxial YIG or Ferrite Films,1
"YIG Films or Spheres, or Hexagonal Ferrite Films, on GaAs Substrate",1
Hexagonal Ferrite Films,1
Uniform Films with In-plane Remnant Moments,1
Blue Gallium Nitride (GaN) micro-LED (µLED),1
CMOS driver SoC,1
Pixel driver cell (3T1C),1
Flip-Chip Bonding,1
YBa₂Cu₃O₆ (undoped),1
YBa₂Cu₃O₆₋ₓ (x ≈ 0.3),1
"(Ga,Mn)P",1
"InGaAs (ternary layer, photoabsorption region)",1
"InAlAs/InGaAs Superlattice (SL, absorption region and gain mechanism region)",1
Barrier Layer (p⁺ layer),1
Laser Facets (InGaAsP/InP),1
Laser Substrate (InP),1
Cu electroplating layer,1
Ni/Ag/Pt/Au p-type contact,1
Ti/Al/Ti/Au n-type contact,1
"Luxeon Z-series LEDs (LXZ1-PR01 royal blue, LXZ1-PM01 green, LXZ1-PX01 converted green)",1
Hamamatsu S3590-08 Si PIN PD,1
First Sensor PC10-6b Si PIN PD,1
First Sensor AD1900-11 Si APD,1
Osram BPW34 Si PIN PD,1
Advanced Photonix PDB-C156 Si PIN PD,1
Advanced Photonix PDB-C107 Si PIN PD,1
AlN/superlattice/AlGaN buffer layer,1
AlxGa1-xN barrier layer (x = 0.25–0.4),1
1-nm AlN layer + 24-nm AlGaN layer (Si-doped),1
Thin AlN spacer layer(s),1
AlN Quantum Barriers (QBs),1
Compound 1 (tetrafunctional o-quinodimethane precursor),1
Compound 2 (copolymer with maleimide groups),1
Fabricated polymer block (base structure),1
Compound 3 (bromine-containing maleimide),1
SiC (Boron-doped),1
InGaAsP/InP Active Layer (MQW),1
InP Cladding/Contact Layer,1
a-ZnTe,1
B-doped nc-Si film,1
Mono-Si,1
mc-Si/a-Si,1
Photonic-crystal-like Structure (PCLS),1
ZnO (modified with TiCl4),1
*O–Zn–C2H5 surface species,1
*O–Zn–OH surface species,1
*S–Zn–C2H5 surface species,1
*S–Zn–SH surface species,1
*SH group,1
*OH group,1
p-GaAs Capping Layer,1
C59N1,1
C48N12,1
ZnO:Al (Grating Coupler),1
ZnO:Al (Flat),1
ZnO:Al (Randomly Textured),1
ZnTiO3 (101) Surface,1
ZnTiO3 (110) Surface,1
Metallic mirror (bottom),1
7x GaN/AlN Bragg mirror (bottom),1
Semi-transparent Ni/Au (2 nm/6 nm) (top),1
Thick Ag layer (bottom),1
7x DBR (top),1
100 nm GaN:Si,1
20 nm/10 nm/20 nm AlGaN:Si/GaN-un-doped/AlGaN:Mg SQW,1
125 nm GaN:Mg,1
7x GaN/AlN DBR,1
Ni or Ni/Au contact,1
Identical to System 3 (SQW UV-LED),1
Optics Material (Lens),1
GaAs/GaAlAs heterostructures,1
VOx or amorphous silicon,1
PST and BST,1
Lead Selenide and Indium-Gallium Arsenide,1
Extrinsic Silicon,1
Stainless Steel (SUS304) Substrate,1
PET (Polyethylene Terephthalate) Substrate,1
InAs/GaSb Type-II Strained-Layer Superlattice (T2SLS),1
Infrared AlGaAs/GaAs based structure,1
n-doped Al0.6Ga0.4As confinement layer,1
Active region (GaAs layers),1
Active region (Al0.295Ga0.705As layers),1
p-doped Al0.6Ga0.4As upper confinement layer,1
p-doped GaAs cap layer,1
Patterned surface structure (holes),1
AZ 5214E photoresist,1
Au seeds,1
Photoresist pattern (after NSOM lithography),1
Al0.4Ga0.6As Layers,1
InP guiding layer,1
Undoped InGaAs absorbing layer,1
n+ In₀.₅₃Ga₀.₄₇As contacting layer,1
Polyimide insulating layer,1
Ti/Au final metal layer,1
GaSb (Emitter),1
"InGaP (top subcell), InGaAs (middle subcell), Ge (bottom subcell)",1
Not applicable (the models are theoretical),1
AlGaN/GaN/InGaN/GaN HFET structure with recessed gate,1
PBDTT-8ttTPD,1
PBDT-8ttTPD,1
PBDT-6ttTPD,1
u-GaN Cap,1
TGO thin film,1
InAs0.78Sb0.22,1
InAs0.80Sb0.20,1
"InAs1-xSbx (where x = 33%, 25%, 20%, 17%)",1
P-doped SiO2,1
IZO (In2O3:Zn=1:1 at.%),1
hexagonal boron nitride,1
InAs/GaAsSb Superlattices with AlSb Insertion Layers,1
p-type region (GaSb buffer + doped SL),1
n-type region (doped SL + InAs contact),1
"First Diffraction Grating (Index Scale, G1)",1
"Second Diffraction Grating (Indicator Scale, G2)",1
Low-Temperature SiC Buffer Layer,1
High-Temperature 3C-SiC Epitaxial Film,1
3C-SiC (Seeding Layer),1
Solar parabolic trough collector (PTC),1
Waste incineration unit,1
Rankine cycle,1
WC-6%Co Substrate,1
Mg-doped Al0.82In0.18N Intermediate Layer,1
UID GaN (Unintentionally doped),1
GaN : Fe (Iron-doped),1
UID Al0.36Ga0.64N,1
InAs Spacer Layers,1
p-InAs0.61Sb0.13P0.26 Lower Cladding,1
n-InAs Middle Cladding,1
n⁺-InAs Upper Cladding (Plasmon Layer),1
EDMPZC,1
Al0.15Ga0.85N/GaN Superlattice (SL),1
GaAs Quantum Well Structure,1
Metal Dots (Au/Ce/Ni/Au),1
BiVO4 (Fe-doped),1
BiVO4 (W-doped),1
MIL-100(Fe),1
IIa-Tech Single Crystal Diamond,1
ScAlN (Sc0.125Al0.875N),1
Parabolic Dish Reflector,1
Triple-Junction Solar Cells,1
Micro-Channel Water Cooler,1
Working Water,1
Au–Ni catalyst,1
SiO₂ (Oxide),1
AICu (Aluminum Copper),1
Y Sm Lu Ca Ge Fe garnet,1
GaN (back side),1
GaN (after Ga droplet removal),1
SnO2 nanoparticles and ZnO nanotetrapods,1
ZnO nanotetrapods on ITO-coated polyethylenenaphtalate (ITO/PEN) substrate,1
Al0.24Ga0.76As1-yPy,1
LiScC,1
LiScSi,1
LiScGe,1
NaScC,1
InAs/GaSb T2SL (Type-II Superlattice),1
AlGaAs/GaAs quantum dot,1
GaInN interlayer,1
GaInN multi-quantum well active layer,1
Al0.02Ga0.98N layer,1
Electron blocking (EB) layer with a high Al content (p-Al0.2Ga0.8N),1
p-GaN/AlGaN superlattice cladding layer,1
"Saturable Absorber Layer (SAL) (single-quantum well, composed of p-GaN/pGaInN/p-GaN)",1
Anti-reflection coating (SiO2 and TiO2),1
"Grid lines (Ag, Ti, Y)",1
Rear electrode (Al),1
PSiBTBT,1
PSiBTBT:PC70BM Blend,1
PGeBTBT:PC70BM Blend,1
GaP/AlxGa1-xP/GaP heterostructure,1
SiO2-on-Si substrate,1
P25 (mixed phase TiO2),1
Dyesol-T (commercial anatase TiO2 paste),1
Metamorphic InxGa1-xP Buffer Layer,1
Undoped In0.53Ga0.47As,1
Graded doping p-InP,1
GSG Electrodes,1
CsSnIBr2,1
Zinc Acetylacetonate (Zn(C5H7O2)2),1
Substrate (Si or Corning code 0211 glass),1
Mg0.7Cd0.3S (Barrier Layer),1
Zn0.2Mg0.35Cd0.45S,1
Mg0.9Cd0.1S (Barrier Layer),1
ZnCdS (Well Layer),1
Mg0.6Cd0.4S (Barrier Layer),1
Zn0.3Mg0.05Cd0.65S,1
Undoped or doped QD layer,1
QD arrays separated by doped barrier layers,1
Multiple QD layers separated by undoped barrier layers,1
"Doped emitter contact layer, undoped barrier layers, doped collector contact layer",1
S-QDIP part,1
LED part,1
InGaAs/GaAs Quantum Dot (QD),1
Bragg Mirrors,1
[CdSe/ZnS core/shell quantum dots],1
100 nm GaN-on-Si HEMT process (D01GH),1
Sc0.14Al0.86N,1
B+ implanted region,1
n-region (converted from p-type),1
MAPbI3 (MA),1
FA0.85MA0.15Pb(Br0.15I0.85)3 (FAMA),1
Ti/Al/Ni/Au Ohmic Contacts (Source/Drain),1
Electron-Hole System in a 2D Lattice,1
"Gaussian Laser Pulses (E1, E2)",1
Disk Resonator (Silicon),1
"Dielectric Layer (Silicon Nitride, Si3N4)",1
Electrodes & Ground Plane,1
Boron-Nitride-Carbon,1
"Ho-doped Zn(O,S)",1
Pt SAs,1
Ab1 (primary antibody),1
PDOR,1
PDR,1
PBOR,1
PBH,1
Absorbing Spacer Layer,1
"High/low refractive index layers (e.g., ZnSe/ZnS, ThF4)",1
"Substrate (e.g., glass G)",1
Dichromated gelatin (DCG),1
Integrated Tunable Laser Assembly (iTLA),1
Tunable Compact Mach-Zehnder Modulator (T-CMZ),1
Control Electronic Circuit Board Assembly,1
Mechanical Interface,1
Impurity (Gaussian),1
Noise (Gaussian White),1
Ga0.55In0.45P,1
Al/Ni top electrode (for Llc measurement),1
PECVD SiO₂ Passivation Layer,1
Al Top Contact,1
Al Backside Contact Layer,1
Virtual Ge(100) Substrate on Si,1
PmPV,1
MnZnO (diluted magnetic semiconductor),1
Glass Waveguide,1
MoON,1
Colloidal Carbon (Graphite),1
Colloidal Ni,1
CdS or CdSe single crystals,1
CdSe single crystals,1
CIGS Absorber (n-type quasi-neutral region),1
CIGS Absorber (Back Contact Interface),1
CIGS Absorber (Space Charge Region),1
CIGS Absorber (Depletion Width),1
Incoming Light,1
MBE-grown p-type PbTe layer,1
MBE-grown n-type PbTe contact layer,1
Zn0.90Li0.10O,1
TiO2/CdS/Ag2S/ZnS:Cu (1%) film,1
n+-p-diode junction,1
In0.5Ga0.5P Epilayer,1
Emitter: Al0.3Ga0.7As,1
Base: GaAs,1
Collector: GaAs,1
Heterojunction Interface States (Nts),1
AlGaN layer (part of Heterostructure),1
TPA-BTD,1
AlN barriers around QDs,1
Upper AlN layer,1
MoS2 (Interface Layer),1
i-ZnO (In,1
InGaAs/GaAsSb Quantum Wells,1
InGaAs/GaAsSb Quantum Wells (within each pixel's PD),1
PIN-PD Array,1
VECSEL Heterostructure (Gain Mirror),1
Optical Pump Source,1
Nonlinear Crystal for SHG,1
Lumeta Solar LPP-150 lightweight PV modules,1
"3-tab composite asphalt shingles (Timberline, GAF)",1
Thick a-AlN layer (template base),1
Amorphous Silicon Cladding,1
CVD SiC Cladding,1
Bare RB SiC,1
[Ni(MEA)₂(OAc)]⁺),1
pDTG-TPD:PC₇₁BM,1
PA series polymers,1
Schottky barrier (Au),1
In0.6Ga0.4N active layer,1
ZNR,1
IZR,1
IZRH,1
Ga₃In₁₃P (x≈0.5),1
p-type crystalline silicon (p-c-Si),1
Cl donor in Cd₀.₈₀Zn₀.₂₀Te,1
Cl donor in Cd₀.₇₂Zn₀.₂₈Te,1
Ga1−xInxAsySb1−y (Semiconductor A),1
GaSb (Semiconductor B),1
HgCdTe/CdTe/Ge,1
p+-n junction InP,1
n+-p-p+ junction InP,1
Paper Substrate,1
PMMA-coated Paper Substrate,1
CdSe–PVK,1
ZnO Seed Layer (TF),1
TiO2 Seed Layer (TF),1
Silicon (Si) Layers,1
Por-2,1
Por-1,1
DCN-200 (g-C3N4 modified at 200 °C with NaBH4),1
DCN-350 (g-C3N4 modified at 350 °C with NaBH4),1
Er-MAPbBr3 (Erbium doped Methylammonium Lead Bromide),1
AlXGa1-XN (AlGaN),1
"SiC SBDs (STPSC10TH13TI, STMicroelectronics)",1
"SiC MOSFETs (SCT3060AL, ROHM Semiconductor)",1
"Spherical Si solar cell module (CVFM-0540T2-WH, Clean Venture 21)",1
15-V Li-ion laminated battery,1
Gal_xAl_(1-x)As vs GaAs,1
lead-free perovskites,1
lead-containing perovskites,1
Not explicitly mentioned in the provided text.,1
Anatase TiO₂ {0 0 1},1
Anatase TiO₂ {0 0 1} with oxygen vacancies,1
TTTP dianion,1
Sulfide ion (S²⁻),1
EDTC dianion,1
PDTC dianion,1
O (Nearest Neighbors to Nd),1
Ti (Nearest Neighbors to Nd),1
O (Next Nearest Neighbors to Nd),1
Ti (Next Nearest Neighbors to Nd),1
Indium atoms (In),1
[CuO]NPs,1
2DEG at LAO/STO interface,1
Indium (Ohmic Back Contact),1
Undoped ZnSe buffer layer,1
Nitrogen-doped ZnSe epitaxial layer,1
TiO2 Thin Film,1
n+-doped InP buffer layer,1
n-doped InGaAsP compositional graded layer,1
n-doped InGaAs collector layer,1
p-doped InGaAs base layer,1
Undoped InGaAsP spacer layer,1
n-doped InP emitter layer,1
n-doped InGaAsP step graded layer,1
n+-doped InGaAs cap layer,1
Quaternary layers (InGaAsP),1
Emitter electrode,1
Optical window mesa,1
InGaN Multiple Quantum Well (MQW) Active Layer,1
AlInGaN Films,1
c-Plane Free-standing GaN Substrate,1
Fluorinated Amorphous Carbon (a:C-F),1
n-type CdxHg12xTe,1
Precursor (Bi2O3-FeOOH),1
GaAs (Superlattice Well Material),1
Tin-based perovskites,1
SnF2,1
TiCl4 treatment layer,1
As-deposited-ZnO,1
Air annealed-ZnO,1
Vacuum annealed-ZnO,1
Superconducting Loop,1
Write Gate (Two-junction Interferometer),1
MO Resistor,1
T6 (6% Ti in SnO2),1
T10 (10% Ti in SnO2),1
T15 (15% Ti in SnO2),1
T40 (40% Ti in SnO2),1
"S, P-GQDs",1
InGaP active layer,1
Four-layer Graphene,1
ZnO layer grown on seed layer,1
ZnO (1101) inclusions,1
C-oriented ZnO nanowires (grown first),1
ZnO layer grown by overgrowth,1
ZnO (1101) inclusions (if any),1
ZnO (0002) orientation,1
"[Co(II)(bpy)3][B(CN)4]2, [Co(III)(bpy)3][B(CN)4]3, 4-tert-butylpyridine (TBP), LiClO4 in 3-methoxypropionitrile (MPN)",1
"[Co(II)(bpy)3][B(CN)4]2, [Co(III)(bpy)3][B(CN)4]3, 4-tert-butylpyridine (TBP), LiClO4 in acetonitrile (AN)",1
Solar energy (both thermal and photovoltaic types),1
Eco-label for solar energy,1
Graded AlxGa1-xN,1
Al0.24In0.01Ga0.75N,1
Al0.16In0.84N,1
Bulk GaN Substrate/GaN Buffer Interface,1
Transparent Conductive Oxide (TCO) and metallic grid,1
PEDOT and metallic grid,1
TCO and metallic grid (with 20% bulk conductivity of silver),1
TCO and metallic grid,1
Defective layer within buffer,1
Al0.4Ga0.6As (Stop-Etch Layer),1
Smectic-A blocks,1
Screw Dislocations,1
Twist Grain Boundaries (TGB),1
n-GaAs Epitaxial Layer,1
Anodic Oxide (AO) Film,1
Palladium (Pd) Electrode,1
AlScN (aluminium scandium nitride),1
AlScN barrier layer,1
Polymer P(BDT-SDPPDS),1
Polymer P(BDTT-SDPPDS),1
AlN or GaN (Template),1
30 μm thick GaN template,1
3 μm thick GaN template,1
NT–TiO2–1,1
NT–TiO2–2,1
NT–TiO2–3,1
In (metallic indium),1
InP Embedding Layer,1
"P1 (Polymer backbone: (2,5-di(thiophen-2-yl)thieno[3,2-b]thiophene)-alt-(2,5-bis(2-ethylhexyl)-3,6-di(thiophen-2-yl)pyrrolo[3,4-c]pyrrole-1,4(2H,5H)-dione) (DTTT-alt-DTPP))",1
"P2 (Polymer backbone: (2,5-di(thiophen-2-yl)thieno[3,2-b]thiophene)-alt-(2,5-bis(2-ethylhexyl)-3,6-di(thiophen-2-yl)pyrrolo[3,4-c]pyrrole-1,4(2H,5H)-dione) (DTTT-alt-DTPP))",1
In₀.₁₃Ga₀.₈₇N/GaN MQW (sample A-1),1
In₀.₁₃Ga₀.₈₇N/GaN MQW (sample A-2),1
In₀.₁₄Ga₀.₈₆N/GaN MQW (sample B-1),1
In₀.₁₄Ga₀.₈₆N/GaN MQW (sample B-2),1
In₀.₁₄Ga₀.₈₆N/GaN MQW (sample B-3),1
Cd0.88Zn0.12S,1
Cd0.73Zn0.27S,1
Cd0.65Zn0.35S,1
Gold Nanoparticle (Au NP),1
Waveguide Structure Material,1
n-SnSe2,1
CsPbCl3 PeQDs,1
Si PDs,1
"Cr3+, Yb3+, Ce3+ tri-doped CsPbCl3 PeQDs film",1
Paraffin (Siliplast LP65),1
"SiC (b-SiC, 3C-SiC)",1
Silicon Oxynitride (Si2N2O),1
Glassy Phase (Amorphous),1
a-Si0.73Ge0.27:H,1
a-Si0.60Ge0.40:H,1
[InGaN NWs],1
[Cu2O Layer],1
"(Ga,Fe)N",1
"(Ga,Fe)N:δMg",1
LED Structure Components,1
GaN/Al0.3Ga0.7N heterojunction,1
"[Chlorophyll, Flavonoid, Carotenoid, Anthocyanin]",1
"[Gas phase, Acetonitrile, Water]",1
[Excited states of the dyes],1
Hexamethylene Tetramine,1
Sodium Silicate,1
CdxZn1-xO/ZnO heterostructure,1
ZnO (Barrier),1
[Graphene nanoribbon],1
"Laser-induced nanostructures (ripples, beads, spikes, penguins)",1
"Target material (e.g., Si, Ge, ZnO, Ti)",1
Laser plasma-treated nanostructures,1
"Substrate (e.g., 100 nm SiO2 film on Si)",1
"Laser-written nanostructures (e.g., nanoholes)",1
GaN Nanorods (formed),1
Al0.49Ga0.51N Epilayer,1
Al0.49Ga0.51N Photoconductor,1
Al0.54Ga0.46N Epilayer,1
Al0.54Ga0.46N Photoconductor,1
CeZr-1,1
CeZr-2,1
CeZr-3,1
CeZr-4,1
CeZr-6,1
H3(SiMo12O40)2][Cu5(C10H8N2)7]·2H2O,1
[(H2SiMo12O40)][Cu2(C10H8N2)3]·2H2O,1
[(H4SiMo12O40)][(C10H2)2]·xH2O,1
[(SiMo12O40)][Cu5Cl2(C10H8N2)5]·2H2O,1
"[SiMo12O40]·[H2(4,4′-bpy)]·xH2O",1
ZnPc-1,1
ZnPc-2,1
ZnPc-3,1
ZnPc-4,1
ZnPc-5,1
"GaAs (n-type, Si-doped, 0.5-2 x 10^16 cm^-3 or unintentionally doped, 10^16 cm^-3)",1
"GaAs (n-type, Ge or Sn-doped, ~10^17 cm^-3)",1
B-BF-CQDs,1
G-BF-CQDs,1
Y-BF-CQDs,1
InSb P-N junction diode,1
"Ga,In1-xAsyP1-y (Epilayer)",1
Indole-based thiazole substituted donor-π-acceptor molecule,1
Flip-Flop,1
ZnSe/GaAs HBT,1
PCDTCHBI Monomer,1
PCDTCHBI (Polymer 15),1
PCDTEHOCHBI Monomer,1
PCDTEHOCHBI (Polymer 16),1
Substrate (Silicon or Fused Silica with 20 nm Chrome Pattern),1
Mold (Fused Silica with SiNx Pattern and 10 nm Chrome Top Layer),1
Imprint Resist,1
Undoped epitaxial GaN layer,1
InGaN quantum well (QW) layer,1
Ag Overlayer,1
In Overlayer,1
Al Overlayer,1
In0.15Al0.85As CBs,1
In0.15Al0.85As LB,1
Pt/Au Schottky contacts,1
GaAlAs Laser Array (SDL model 2450C),1
Undoped Alkali Halide Crystal,1
Germanium Quantum Dot (QD),1
Exciton (space-separated electron and hole),1
"ZnO Nanoparticles (e.g., ZnO-60, ZnO-80, ZnO-100)",1
ZnO-80 Nanoparticles,1
Ga0.8In0.2As Active Layer,1
AlGaInAs Transparent Layers,1
AlAs diffusion-stopping layers,1
AlAsSb barrier layers,1
Bowtie-antenna plasmonic structure,1
SiN membrane,1
CVD-synthesized monolayer MoS2,1
Top electrode,1
Top electrodes,1
ZnSe (Substrate and Buffer),1
Na2ZnO2 (Sodium Zincate),1
Patterned DAC:N film (500 Å) on n-Si substrate (0.01 V cm),1
"Low-resistivity DAC:N emission layer (700 Å) / Ballast layer (0, 50, 100, 200 Å) / n-Si substrate (0.01 V cm)",1
AlN host crystal,1
Polysquaraine 1,1
Quartz (HOYA 5009 synthetic quartz plate),1
PBS (Polyvinyl Phenol Based) resist,1
Quantum dots (InGaAs islands),1
3-SAM,1
5-SAM,1
Mo1–xNbxSe2 (x = 0.5),1
1T-Mo1–xNbxSe2 (x ≈ 0.5),1
2H-Mo1–xNbxSe2 (x ≈ 0.5),1
CH3CH2NH3+ (EA+ cation),1
Ge2+ cation,1
I- anion,1
HfGe,1
Nitridated Layer / AlN Layer,1
Generator Network (G),1
Discriminator Network (D),1
Latent Space (z),1
Feature Extractor Model (F),1
Generalized Linear Model (GLM) / Regression Model (R),1
Benzimidazolium salicylate (BSL),1
"LGO (likely a typo, referring to Inverted Pyramids)",1
UP (Upright Pyramids),1
Randomizing Texture Facets,1
Class I Geometric Texture Facets,1
Class II Geometric Texture Facets,1
WS2 Nanosheet,1
ZnO nanowire (n-type),1
GaN film (p-type),1
"Superconducting materials (e.g., NbN for SSPD, various metals for TES)",1
"Detector components (e.g., mirrors, collection optics)",1
Iron-doped InP Substrate,1
InGaAs Passive Waveguide,1
Intermediate InP Layer,1
Active QCL Region (AlInAs/GaInAs),1
GaAs (Al0.24Ga0.76As) Emitter,1
n-GaAs (Al0.24Ga0.76As) Emitter,1
AlGaAs Tunneling Barrier,1
Twisted Bilayer Graphene (tBLG),1
Twisted Bilayer Graphene (tBLG) with Dissociated Hydrogen Adsorption,1
nC-SiOx:H network,1
Amorphous Silicon-Oxygen-Hydrogen Matrix (a-SiOx:H),1
n-CdTe Epilayer,1
p-Hg1-xCdxTe Epitaxial Layer,1
n-type Region (Diffused),1
Bottom Bragg Mirror (2 pairs of l=4 Pb1-xExSe=BaF2 stacks),1
Cavity Spacer Layer (Pb1-xExSe),1
Active Detector Layer (Pb1-yEuySe),1
InP island,1
Electrons in DP minima,1
Holes in Piezoelectric Potential (PEP) minima,1
Electrons in QW Reservoir,1
Holes in QW Reservoir,1
Cu₄₇In₁₃Se₄₀,1
Cu₄₀In₂₀Se₄₀,1
Cu₁₃In₇₇Se₁₀,1
Au (Metallization),1
Sn-3.5Ag (Die Attach),1
Main Intrinsic Quantum Dot (QD),1
Second n-type Side Quantum Dot (QD2),1
"Quantum Wells (QWs), Barriers, Emitter Contact, Collector Contact",1
GaAlAs double heterostructure,1
EROS diode,1
Digital transceiver modules,1
Optical rotary joint,1
[CZ(TDPP)2],1
[DPA(TDPP)2],1
[PTZ(TDPP)2],1
[FL(TDPP)2],1
Silicon-dioxide (SiO2),1
C60-PEHBS,1
C60-2TEBPE,1
C60-2EHTPB,1
PbSSe Nanocrystals (NCs),1
Inverse-square potential function V(r) = -g/r²,1
Square well potential V(r) = -V₀ for r < a,1
Inverse-square sink potential V(r) = -g/r² for r < a,1
Square well potential representing the nucleus,1
Inverse-square sink potential representing absorption,1
n-layer (epilayer),1
p+-layer (epilayer),1
p++-layer (epilayer),1
Anode electrode,1
Cathode electrode,1
L-Histidinium cation,1
Dipicrate anions,1
p-GaN Window Layer (Sample b),1
p-GaN Window Layer,1
p-GaN Window Layer (Sample a: 50 nm),1
p-GaN Window Layer (Sample b: 100 nm),1
p-GaN Window Layer (Sample c: 150 nm),1
TiO2 (mixed phases),1
GaAs:Sn LPE layer,1
Deep level in GaAs:Sn,1
dsDNA or ssDNA,1
AlNx layer,1
4-inch Si(111) substrate,1
AlN/Al0.8Ga0.2N/Al0.5Ga0.5N/Al0.2Ga0.8N/GaN buffer layers,1
~1 nm AlN spacer / 30 nm Al0.25Ga0.75N barrier / 3 nm GaN cap,1
"1,6 Hexanedithiol",1
[D₂GaN(CH₃)₂]₂ (DMA-Ga),1
Diamond film (absorbing layer),1
Ti/Au bilayer metal contacts,1
DFB Laser Diode (AB5A234P1),1
Gas (C2H2),1
Al0.98Ga0.02As Oxidation Layers,1
Al0.1Ga0.9As / Al0.9Ga0.1As Distributed Bragg Reflectors (DBRs),1
H₂GaN₃ (1),1
D₂GaN₃ (2),1
HBrGaN₃ (5),1
H₂GaN₃·C₅H₅N,1
H₂GaN₃·NMe₃,1
Semiconducting Material,1
InP(100) Wafer,1
Al0.4Ga0.6As tunnel barrier,1
AuGe/Ni/Au Ohmic metallization,1
Generic 2D electronic system with a van Hove singularity,1
GaAs/AlxGa1-xAs quantum dots,1
GaAs/AlxGa1-xAs quantum dots with centered defect,1
"GaAs/AlxGa1-xAs quantum dots, one with centered defect",1
"GaAs/AlxGa1-xAs quantum dots, some with centered defect of varying sizes",1
"henna1 (2-hydroxynaphthalene-1,4-dione)",1
"henna2 (3-(5-((1E)-2-(1,4-dihydro-1,4-dioxonaphthalen-3-yloxy) vinyl) thiophen-2-yl)-2-isocyanoacrylic acid)",1
anthocyanin,1
AlOx (Layers within ZnO matrix),1
Agent (Turtle),1
Link,1
Observer,1
SiN3,1
Oxide layer (formed on InSe),1
InSe (p-type),1
Me2Au(tfac) precursor gas,1
Deposited Nanocrystalline Gold Material,1
CpPtMe3 precursor gas,1
Deposited Nanocrystalline Platinum Material,1
Deposited Tungsten Carbide Material,1
Deposited Tungsten Crystal Material,1
PC71BM (fullerene acceptor),1
IDTBR (non-fullerene acceptor),1
"HEMT (GaAs-based, 40-nm gate length)",1
"HEMT (GaN-based, 100-nm gate length)",1
"HEMT (GaN-based, 60-nm gate length)",1
ZnSSe/ZnMgSSe MQW structure,1
ZnSSe QW,1
ZnMgSSe barrier,1
p-InGaAsP cladding layer,1
n-InGaAsP active layer,1
n-InGaAsP cladding layer,1
n-AlGaAs burying layer,1
Ge(1−x)SnxSe2,1
Ge0.88Sn0.12Se2,1
ZnO/Asahi-U,1
Doped n-layer,1
Doped p-layer,1
Triple-junction GaInP/GaAs/Ge solar cell,1
"P (4,7-dithienbenzothiadiazole derivative with terminal phenyl rings connected via cyano-vinylene bond)",1
"T (4,7-dithienbenzothiadiazole derivative with terminal thiophene rings connected via cyano-vinylene bond)",1
Carbon Nanotubes (Multiwalled),1
Narrow Gap Semiconductor (NGS) Overlayer,1
p-type Silicon (p-Si) Substrate,1
Alternating T and F residues,1
TFT-based oligomers,1
T2FT2-based oligomers,1
H4T3FT3-based oligomers,1
H2T2FT2-based oligomers,1
FT2F-based oligomers,1
PBDT-tTz,1
PBDT-ttTz,1
"ZnO, GaN, InGaN",1
"ZnO, Ga-doped ZnO",1
"ZnO:Al, ZnO:Al co-doped with transition metals",1
Fe-based multilayered film (pole pieces),1
CoTaZr amorphous film (shield layers),1
81/19 Permalloy (MR layer),1
FeMn-based alloy film (antiferromagnetic layer),1
Nb (shunt layer),1
Hexamethyldisilane (HMDS),1
Amorphous preceramics,1
Hg₀.₇₀Cd₀.₃₀Te,1
p+-InGaAs base,1
undoped InP emitter,1
undoped InGaAs spacer layer,1
n/n+ AlInAs emitter,1
50 nm AlInAs interlayer,1
In0.75Al0.25As (Barriers),1
InAs (Inserted Layer),1
Chromium Mask,1
GaN (Nanowire Core),1
InGaN (Quantum Disk Core),1
AlGaN (Quantum Disk Shell/Barrier),1
Cadmium-tellurium quantum dots (CdTe QDs),1
GaN (As-grown),1
c-MWCNT/PANI,1
"CA, CI, SO (Enzymes)",1
[Cd2Ti4(μ-O)6(TFA)8(THF)6] · 1.5THF (1),1
Resistor (Rs),1
Capacitor (Cp),1
Resistor (Re),1
Inductor (Lm),1
Capacitor (Co),1
Electrical Driver,1
2x2 MMI Gate Matrix Switch,1
Ring Filters (3-ring add-drop),1
Electrical Driving Circuit (Adaptive Sallen-Key Low-pass Filter),1
Operational Amplifier (Op-Amp),1
"Resistors (R1, R2)",1
MHPQD (General),1
Quantum Defect,1
Human-liver tissue layer,1
MgO:LiNbO3,1
Edge Filters (SWPFs),1
GaN channel/layer,1
GaAsxSb1-x (Compositionally Graded Layer),1
GaAs0.9Sb0.1 (Uniform Composition Layer),1
Zn Dopant (p-side),1
Iodine-doped n-CdTe,1
Undoped CdTe buffer layer,1
InAs quantum dots in a GaAs matrix,1
GaN Layer (grown via pseudo-halide CVT),1
GaN Layer (grown via PVT),1
Plasma Source,1
R (DFH),1
DM1 (methoxy end-capped donor),1
DM2 (dimethylamine end-capped donor),1
